Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2021/2022,Premier League,0,2.67912,2.3446916207533217,8.397149999999998,9.564150986156585
2021/2022,Premier League,25,1.7699199999999997,2.1150530669348986,6.691349999999998,8.251818697838676
2021/2022,Premier League,50,1.3236000000000003,1.695662395559688,4.86528,6.600560308791975
2021/2022,Premier League,75,1.3760799999999997,1.834735311724548,4.386294999999999,5.225541686801474
2021/2022,EFL Championship,0,5.874416666666666,inf,12.638170833333334,16.267802628261855
2021/2022,EFL Championship,25,4.3113,3.345445793375839,9.543162500000001,12.090638853933651
2021/2022,EFL Championship,50,2.7357333333333327,2.619694584247819,5.7502875,7.739494321417259
2021/2022,EFL Championship,75,1.2929166666666665,1.8645407407596792,3.467925000000001,4.298947712231449
2022/2023,Premier League,0,4.00182,3.642960197588196,13.056675000000002,14.810522215928108
2022/2023,Premier League,25,3.12746,3.300117592093025,9.860715,11.776873063105503
2022/2023,Premier League,50,1.6901,2.060463498228321,4.531449999999999,5.981208519521786
2022/2023,Premier League,75,1.34436,1.7762082104443617,3.438105,4.029602544482519
2022/2023,EFL Championship,0,4.54305,3.182695811480292,8.270445833333332,10.26500901219364
2022/2023,EFL Championship,25,5.2722500000000005,3.3604041560266356,8.826708333333332,10.766691474636021
2022/2023,EFL Championship,50,3.4414583333333333,2.6250424261276337,5.661666666666665,6.899456259433299
2022/2023,EFL Championship,75,2.107541666666667,2.3658714198656443,3.832379166666667,5.0079550836227895
2023/2024,Premier League,0,2.75618,2.593400294757506,9.019395000000001,10.748888943816471
2023/2024,Premier League,25,2.15448,2.5190237176541213,6.813859999999998,9.349135883866486
2023/2024,Premier League,50,1.415,1.8178900619101097,4.915950000000001,6.250466262127972
2023/2024,Premier League,75,1.4312200000000002,2.111629849389159,3.77296,4.665314978005236
2023/2024,EFL Championship,0,4.447649999999999,2.9147710115657293,9.859791666666666,11.606597947898715
2023/2024,EFL Championship,25,2.8000249999999998,2.553061673175383,7.206654166666667,8.912865725993145
2023/2024,EFL Championship,50,2.602816666666667,2.3412728862430034,5.423212500000001,7.138232543114811
2023/2024,EFL Championship,75,1.868291666666666,1.9451769754703825,4.242850000000001,5.2770701814548575
2024/2025,Premier League,0,2.8324399999999996,2.7212412508420987,10.677115,13.147647013154103
2024/2025,Premier League,25,1.8923199999999993,inf,7.86331,9.724794367800277
2024/2025,Premier League,50,1.4083,1.746726102891938,5.533720000000001,6.699424120549468
2024/2025,Premier League,75,1.20586,1.687883021840452,3.6535499999999983,4.543402173261795
2024/2025,EFL Championship,0,4.889291666666668,3.31466915132831,9.768458333333333,12.554612229409289
2024/2025,EFL Championship,25,4.044291666666666,2.8773707521056813,7.530625000000001,8.843910425824088
2024/2025,EFL Championship,50,2.8002249999999997,2.5618383619587104,5.915758333333334,6.845369038384028
2024/2025,EFL Championship,75,2.265991666666667,2.3120072356256682,4.766191666666667,5.50482062695961
2025/2026,Premier League,0,3.8,inf,10.326289999999998,14.66200173045959
2025/2026,Premier League,25,2.9872799999999997,inf,8.848225000000003,10.700319745245933
2025/2026,Premier League,50,2.50851,2.4298097247346546,6.52904,7.6375237394066415
2025/2026,Premier League,75,1.56819,1.85354491947486,3.72642,4.287456067413403
2025/2026,EFL Championship,0,5.922066666666667,inf,12.143908333333334,15.669125998653106
2025/2026,EFL Championship,25,5.177266666666667,3.297374500368356,9.505845833333334,12.349136308986012
2025/2026,EFL Championship,50,4.554958333333333,2.9835011495629082,7.454125,9.215225557150875
2025/2026,EFL Championship,75,1.9384249999999996,2.1100769869041747,3.894124999999999,4.685190150445692
