Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2024/2025,EFL Championship,15,3.9317500000000005,2.8613254900212546,8.424375,9.879643555901533
2024/2025,EFL Championship,20,4.3115,3.052094201097438,8.117458333333333,9.497184642039977
2024/2025,EFL Championship,25,4.013083333333333,2.832732551981005,7.422833333333333,8.759680730483275
2024/2025,EFL Championship,30,3.8149166666666665,2.897755448076125,7.381666666666667,8.330837312859575
2024/2025,EFL Championship,35,3.4675,2.8608529258779463,6.421916666666667,7.6546848781209365
2024/2025,EFL Championship,40,2.8044166666666666,inf,5.625374999999999,7.156886500078088
2024/2025,EFL Championship,45,2.8078333333333334,2.6488643965217493,6.320875,7.400717152749455
2024/2025,EFL Championship,50,2.8405833333333335,2.5817767002522616,5.977,6.911373862457931
2024/2025,EFL Championship,55,2.456666666666667,inf,5.170916666666668,6.365243822248027
2024/2025,EFL Championship,60,2.6115833333333334,2.533336447909791,5.435208333333333,6.2410417967141765
2024/2025,EFL Championship,65,2.320833333333333,2.280983247450411,4.635999999999999,5.403848358654536
2024/2025,EFL Championship,70,2.3430000000000004,2.260222677049955,4.926458333333333,5.640415864544031
2024/2025,EFL Championship,75,2.2664999999999997,2.27501065905838,4.747625000000002,5.495251036880239
2024/2025,EFL Championship,80,2.1380833333333333,2.326768543264406,4.325875,5.0428513222514635
2024/2025,EFL Championship,85,2.20975,2.5848864923771955,4.1773750000000005,4.777970197514142
2024/2025,EFL Championship,90,1.5963333333333336,1.9972191468235312,3.006375,3.6378440902545557
2024/2025,EFL Championship,95,1.2085000000000001,1.606606644093257,1.8459583333333338,2.220714590321473
2025/2026,Premier League,0,3.8316000000000003,inf,10.400900000000002,14.713542547598793
2025/2026,Premier League,5,4.1158,inf,10.843300000000001,14.505252286671887
2025/2026,Premier League,10,4.0375,inf,10.5985,13.873690716604576
2025/2026,Premier League,15,3.6927,inf,9.69035,13.06330492065465
2025/2026,Premier League,20,3.5269999999999997,inf,10.097850000000001,12.389765096643275
2025/2026,Premier League,25,2.9564,inf,8.779100000000001,10.644446458130174
2025/2026,Premier League,30,2.9004999999999996,inf,7.603649999999997,9.863954899025034
2025/2026,Premier League,35,2.9446000000000003,inf,7.471350000000001,9.266749578466012
2025/2026,Premier League,40,2.9556999999999993,inf,7.5842,8.934059749072647
2025/2026,Premier League,45,2.4778000000000007,2.470162463364418,6.385049999999999,7.619888027392529
2025/2026,Premier League,50,2.4902,inf,6.535749999999998,7.649892780294374
2025/2026,Premier League,55,2.4036,inf,6.3607,7.676162680662781
2025/2026,Premier League,60,2.1485,2.273114077960984,4.772899999999999,6.089166461840241
2025/2026,Premier League,65,1.7059000000000004,1.9665079379322006,4.07605,4.993630578046398
2025/2026,Premier League,70,1.6141999999999996,1.9136957452075927,3.8907500000000006,4.66252107233844
2025/2026,Premier League,75,1.5639,1.8330980471796832,3.6861000000000006,4.248872850533421
2025/2026,Premier League,80,1.6446,2.00679153644435,3.518449999999999,4.2817508276404865
2025/2026,Premier League,85,1.2250999999999999,1.5232962831508519,2.634150000000001,3.3580830320288397
2025/2026,Premier League,90,1.1095,1.4054641144357156,2.0701999999999994,2.5438628893869253
2025/2026,Premier League,95,0.7370999999999998,1.2132843063543883,1.4706000000000001,1.9589791218897659
2025/2026,EFL Championship,0,5.976416666666668,inf,12.20945833333333,15.701667017390223
2025/2026,EFL Championship,5,5.974333333333334,inf,12.273583333333335,15.251440046762799
2025/2026,EFL Championship,10,5.662916666666667,inf,11.766666666666666,14.72950910304436
2025/2026,EFL Championship,15,5.455666666666667,inf,10.473708333333335,13.71404793298949
2025/2026,EFL Championship,20,5.16275,inf,9.628291666666668,12.900886402039719
2025/2026,EFL Championship,25,5.162249999999999,inf,9.447166666666666,12.272667711219107
2025/2026,EFL Championship,30,5.295916666666666,3.1645088706089535,9.83925,11.833486961444065
2025/2026,EFL Championship,35,5.1725,inf,9.539666666666665,11.458950250059265
2025/2026,EFL Championship,40,4.796166666666667,inf,8.817833333333335,10.580125542733413
2025/2026,EFL Championship,45,4.34025,inf,7.845666666666666,9.766710026923088
2025/2026,EFL Championship,50,4.540500000000001,inf,7.4822500000000005,9.245771258616918
2025/2026,EFL Championship,55,3.9829166666666675,inf,7.231458333333335,8.817270696857769
2025/2026,EFL Championship,60,3.2519999999999993,inf,5.686916666666666,7.317818094669111
2025/2026,EFL Championship,65,2.619833333333333,2.448574823702003,5.184125,6.269799681143462
2025/2026,EFL Championship,70,2.022333333333333,2.1514653668891546,3.9506666666666668,4.751315738824353
2025/2026,EFL Championship,75,1.9344166666666667,2.1242100121061918,3.8619583333333325,4.67739073006165
2025/2026,EFL Championship,80,1.921083333333333,2.1786255542044786,3.1098333333333326,4.160960766457671
2025/2026,EFL Championship,85,1.7277500000000003,1.923192528840878,2.4453333333333336,3.2984600194636284
2025/2026,EFL Championship,90,1.4843333333333335,1.670733314274452,2.2007499999999998,2.900143933209752
2025/2026,EFL Championship,95,0.5734999999999998,1.0403842949214288,1.1622916666666663,1.4053826139762318
