Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2022/2023,EFL League One,40,2.2968333333333333,2.384189772821913,5.6586583333333325,7.607511616816632
2022/2023,EFL League One,50,2.4698666666666664,2.305774273643723,5.739970833333334,6.968349618483323
2022/2023,EFL League One,60,2.4291666666666667,2.411789165734344,5.576404166666666,6.527633254512439
2022/2023,EFL League One,70,1.6424416666666666,2.180568486945683,4.12915,5.318771523262366
2022/2023,EFL League One,80,1.237983333333333,1.908081166074089,3.329445833333334,4.259733052522188
2022/2023,EFL League One,90,0.7003416666666668,1.2404174710235718,2.0474041666666656,2.5603147335012006
2022/2023,EFL League Two,0,7.331641666666667,inf,15.1912,18.63554910495887
2022/2023,EFL League Two,10,5.729400000000001,inf,11.904095833333335,15.509325638748772
2022/2023,EFL League Two,20,3.884116666666666,inf,9.554283333333332,12.640120875707636
2022/2023,EFL League Two,30,3.5830749999999996,inf,8.177433333333333,11.71275096885157
2022/2023,EFL League Two,40,3.224683333333333,3.0391013095705115,7.9945416666666675,9.878771339215216
2022/2023,EFL League Two,50,2.9553999999999996,inf,6.593700000000001,8.772712028690634
2022/2023,EFL League Two,60,2.5836083333333337,inf,5.425616666666666,7.098315880545186
2022/2023,EFL League Two,70,2.2308000000000003,inf,5.2142375,6.586232300760681
2022/2023,EFL League Two,80,1.763608333333333,2.0580437870490873,3.571216666666667,4.396082968109224
2022/2023,EFL League Two,90,1.335141666666667,1.6579279604880857,2.3295291666666675,2.708030225012885
2023/2024,Premier League,0,2.74993,2.551268142389687,9.017399999999999,10.733213502861108
2023/2024,Premier League,10,2.47494,2.615657104960586,8.463455,10.651668832323882
2023/2024,Premier League,20,2.0188800000000002,2.3167445060539684,6.821455,9.07681623624165
2023/2024,Premier League,30,2.009840000000001,2.248985909598305,6.6339500000000005,8.046053176930911
2023/2024,Premier League,40,1.7069400000000001,2.0040227091091127,5.28128,6.453069101830538
2023/2024,Premier League,50,1.4188199999999997,1.8121758599651983,4.925055,6.255379269836482
2023/2024,Premier League,60,1.30583,1.7832195896072704,4.429535,5.502329471551117
2023/2024,Premier League,70,1.3304,1.822194285704969,3.9075300000000004,4.651075798672819
2023/2024,Premier League,80,1.3204099999999996,inf,3.519449999999999,4.502361140668305
